date	clade	count_clade
2019-12-05	172Q	1
2019-12-04	172Q	1
2019-10-16	172Q	2
2019-10-20	172Q	2
2019-10-21	172Q	1
2019-11-15	172Q	2
2019-11-24	172Q	2
2019-12-08	172Q	2
2019-10-06	172Q	2
2019-11-29	172Q	1
2019-12-02	172Q	2
2019-12-06	172Q	1
2019-12-09	172Q	5
2019-11-30	172Q	1
2019-11-25	172Q	1
2019-12-10	172Q	2
2019-08-04	172Q	1
2019-08-07	172Q	2
2019-08-06	172Q	2
2019-08-09	172Q	3
2019-08-21	172Q	4
2019-08-16	172Q	2
2019-08-15	172Q	1
2019-08-22	172Q	1
2019-08-23	172Q	2
2019-08-08	172Q	2
2019-08-13	172Q	3
2019-08-12	172Q	2
2019-08-28	172Q	3
2019-08-18	172Q	1
2019-08-31	172Q	4
2019-08-30	172Q	2
2019-08-14	172Q	3
2019-09-02	172Q	4
2019-09-06	172Q	4
2019-09-14	172Q	1
2019-09-21	172Q	1
2019-09-18	172Q	1
2019-09-17	172Q	2
2019-09-26	172Q	1
2019-09-15	172Q	4
2019-09-23	172Q	1
2019-10-01	172Q	1
2019-09-24	172Q	1
2019-09-20	172Q	1
2019-10-03	172Q	1
2019-10-09	172Q	3
2019-10-23	172Q	3
2019-10-14	172Q	1
2019-10-02	172Q	1
2019-10-12	172Q	1
2019-09-07	172Q	1
2019-09-28	172Q	1
2019-12-26	172Q	2
2019-12-11	172Q	2
2019-11-11	172Q	3
2019-12-18	172Q	1
2019-12-27	172Q	1
2019-12-24	172Q	1
2020-01-07	172Q	2
2019-12-22	172Q	1
2019-12-12	172Q	3
2020-01-01	172Q	5
2019-12-20	172Q	1
2019-12-28	172Q	2
2019-12-19	172Q	1
2019-10-17	172Q	2
2019-11-05	172Q	2
2019-11-07	172Q	2
2019-12-21	172Q	1
2019-12-17	172Q	4
2020-01-17	172Q	1
2020-01-10	172Q	3
2020-01-09	172Q	3
2020-01-11	172Q	3
2020-01-14	172Q	1
2020-01-13	172Q	1
2020-02-04	172Q	1
2019-11-20	172Q	1
2020-01-20	172Q	1
2020-01-22	172Q	1
2019-12-25	172Q	3
2020-01-21	172Q	4
2019-08-17	172Q	2
2019-08-29	172Q	2
2019-10-22	172Q	1
2019-09-13	172Q	1
2019-09-04	172Q	1
2020-02-10	172Q	1
2020-02-11	172Q	2
2020-01-28	172Q	1
2020-02-08	172Q	2
2020-01-26	172Q	1
2019-12-31	172Q	1
2020-02-06	172Q	1
2020-02-13	172Q	1
2020-01-24	172Q	2
2020-02-18	172Q	1
2020-01-15	172Q	1
2020-02-16	172Q	1
2020-02-19	172Q	2
2020-02-23	172Q	2
2020-02-24	172Q	2
2019-11-28	172Q	1
2020-01-31	172Q	1
2020-02-20	172Q	1
2020-02-27	172Q	1
2020-03-24	172Q	1
2020-03-13	172Q	2
2020-02-12	172Q	1
2020-03-03	172Q	2
2020-03-17	172Q	2
2020-03-20	172Q	1
2020-03-18	172Q	2
2020-03-10	172Q	1
2019-12-29	172Q	1
2019-11-13	172Q	1
2020-02-29	172Q	1
2020-01-16	172Q	1
2020-03-06	172Q	1
2020-02-25	172Q	1
2020-03-12	172Q	1
2020-03-11	172Q	1
2020-02-17	172Q	1
